,image_path,image_id,point_num,point_id,point_coordinate,true_class,pred_class,true_desc,pred_desc,true_group,pred_group
92,../test-images\20230112_061315_000_6873.jpg,,3,,"2656, 1520",,S,,Sand,,AB
93,../test-images\20230112_061315_000_6873.jpg,,4,,"1328, 2280",,ACT,,Tabulate Acropora,,HC
94,../test-images\20230112_061315_000_6873.jpg,,5,,"3984, 2280",,S,,Sand,,AB
95,../test-images\20230112_061316_000_6874.jpg,,1,,"1328, 760",,S,,Sand,,AB
96,../test-images\20230112_061316_000_6874.jpg,,2,,"3984, 760",,UNK,,Unknown,,IN
97,../test-images\20230112_061316_000_6874.jpg,,3,,"2656, 1520",,S,,Sand,,AB
98,../test-images\20230112_061316_000_6874.jpg,,4,,"1328, 2280",,S,,Sand,,AB
99,../test-images\20230112_061316_000_6874.jpg,,5,,"3984, 2280",,S,,Sand,,AB
100,../test-images\20230112_061316_000_6875.jpg,,1,,"1328, 760",,S,,Sand,,AB
101,../test-images\20230112_061316_000_6875.jpg,,2,,"3984, 760",,S,,Sand,,AB
102,../test-images\20230112_061316_000_6875.jpg,,3,,"2656, 1520",,S,,Sand,,AB
103,../test-images\20230112_061316_000_6875.jpg,,4,,"1328, 2280",,S,,Sand,,AB
104,../test-images\20230112_061316_000_6875.jpg,,5,,"3984, 2280",,S,,Sand,,AB
105,../test-images\20230112_061317_000_6876.jpg,,1,,"1328, 760",,R,,Rubble,,AB
106,../test-images\20230112_061317_000_6876.jpg,,2,,"3984, 760",,S,,Sand,,AB
107,../test-images\20230112_061317_000_6876.jpg,,3,,"2656, 1520",,S,,Sand,,AB
108,../test-images\20230112_061317_000_6876.jpg,,4,,"1328, 2280",,UNK,,Unknown,,IN
109,../test-images\20230112_061317_000_6876.jpg,,5,,"3984, 2280",,S,,Sand,,AB
110,../test-images\20230112_061317_000_6877.jpg,,1,,"1328, 760",,S,,Sand,,AB
111,../test-images\20230112_061317_000_6877.jpg,,2,,"3984, 760",,S,,Sand,,AB
112,../test-images\20230112_061317_000_6877.jpg,,3,,"2656, 1520",,UNK,,Unknown,,IN
113,../test-images\20230112_061317_000_6877.jpg,,4,,"1328, 2280",,S,,Sand,,AB
114,../test-images\20230112_061317_000_6877.jpg,,5,,"3984, 2280",,R,,Rubble,,AB
115,../test-images\20230112_061317_000_6878.jpg,,1,,"1328, 760",,S,,Sand,,AB
116,../test-images\20230112_061317_000_6878.jpg,,2,,"3984, 760",,S,,Sand,,AB
117,../test-images\20230112_061317_000_6878.jpg,,3,,"2656, 1520",,S,,Sand,,AB
118,../test-images\20230112_061317_000_6878.jpg,,4,,"1328, 2280",,S,,Sand,,AB
119,../test-images\20230112_061317_000_6878.jpg,,5,,"3984, 2280",,S,,Sand,,AB
120,../test-images\20230112_061318_000_6880.jpg,,1,,"1328, 760",,R,,Rubble,,AB
121,../test-images\20230112_061318_000_6880.jpg,,2,,"3984, 760",,S,,Sand,,AB
122,../test-images\20230112_061318_000_6880.jpg,,3,,"2656, 1520",,UNK,,Unknown,,IN
123,../test-images\20230112_061318_000_6880.jpg,,4,,"1328, 2280",,S,,Sand,,AB
124,../test-images\20230112_061318_000_6880.jpg,,5,,"3984, 2280",,S,,Sand,,AB
125,../test-images\20230112_061318_000_6881.jpg,,1,,"1328, 760",,S,,Sand,,AB
126,../test-images\20230112_061318_000_6881.jpg,,2,,"3984, 760",,S,,Sand,,AB
127,../test-images\20230112_061318_000_6881.jpg,,3,,"2656, 1520",,S,,Sand,,AB
128,../test-images\20230112_061318_000_6881.jpg,,4,,"1328, 2280",,S,,Sand,,AB
129,../test-images\20230112_061318_000_6881.jpg,,5,,"3984, 2280",,S,,Sand,,AB
130,../test-images\20230112_061319_000_6882.jpg,,1,,"1328, 760",,S,,Sand,,AB
131,../test-images\20230112_061319_000_6882.jpg,,2,,"3984, 760",,S,,Sand,,AB
132,../test-images\20230112_061319_000_6882.jpg,,3,,"2656, 1520",,S,,Sand,,AB
133,../test-images\20230112_061319_000_6882.jpg,,4,,"1328, 2280",,S,,Sand,,AB
134,../test-images\20230112_061319_000_6882.jpg,,5,,"3984, 2280",,S,,Sand,,AB
135,../test-images\20230112_061319_000_6883.jpg,,1,,"1328, 760",,UNK,,Unknown,,IN
136,../test-images\20230112_061319_000_6883.jpg,,2,,"3984, 760",,S,,Sand,,AB
137,../test-images\20230112_061319_000_6883.jpg,,3,,"2656, 1520",,S,,Sand,,AB
138,../test-images\20230112_061319_000_6883.jpg,,4,,"1328, 2280",,S,,Sand,,AB
139,../test-images\20230112_061319_000_6883.jpg,,5,,"3984, 2280",,S,,Sand,,AB
140,../test-images\20230112_061320_000_6884.jpg,,1,,"1328, 760",,S,,Sand,,AB
141,../test-images\20230112_061320_000_6884.jpg,,2,,"3984, 760",,S,,Sand,,AB
142,../test-images\20230112_061320_000_6884.jpg,,3,,"2656, 1520",,S,,Sand,,AB
143,../test-images\20230112_061320_000_6884.jpg,,4,,"1328, 2280",,UNK,,Unknown,,IN
144,../test-images\20230112_061320_000_6884.jpg,,5,,"3984, 2280",,S,,Sand,,AB
145,../test-images\20230112_061320_000_6886.jpg,,1,,"1328, 760",,S,,Sand,,AB
146,../test-images\20230112_061320_000_6886.jpg,,2,,"3984, 760",,UNK,,Unknown,,IN
147,../test-images\20230112_061320_000_6886.jpg,,3,,"2656, 1520",,S,,Sand,,AB
148,../test-images\20230112_061320_000_6886.jpg,,4,,"1328, 2280",,UNK,,Unknown,,IN
149,../test-images\20230112_061320_000_6886.jpg,,5,,"3984, 2280",,UNK,,Unknown,,IN
