,image_path,image_id,point_num,point_id,point_coordinate,true_class,pred_class
45,../data/input_images\20210620_020359_900_0378.jpg,2141790,1,81590706,"1328, 760",S,S
46,../data/input_images\20210620_020359_900_0378.jpg,2141790,2,81590714,"3984, 760",S,S
47,../data/input_images\20210620_020359_900_0378.jpg,2141790,3,81590717,"2656, 1520",S,S
48,../data/input_images\20210620_020359_900_0378.jpg,2141790,4,81590719,"1328, 2280",S,S
49,../data/input_images\20210620_020359_900_0378.jpg,2141790,5,81590721,"3984, 2280",S,S
50,../data/input_images\20210620_020404_900_0396.jpg,2141793,1,81590647,"1328, 760",S,S
51,../data/input_images\20210620_020404_900_0396.jpg,2141793,2,81590648,"3984, 760",S,S
52,../data/input_images\20210620_020404_900_0396.jpg,2141793,3,81590649,"2656, 1520",S,S
53,../data/input_images\20210620_020404_900_0396.jpg,2141793,4,81590650,"1328, 2280",S,S
54,../data/input_images\20210620_020404_900_0396.jpg,2141793,5,81590651,"3984, 2280",S,S
55,../data/input_images\20210620_020409_800_0414.jpg,2141791,1,81592389,"1328, 760",S,S
56,../data/input_images\20210620_020409_800_0414.jpg,2141791,2,81592395,"3984, 760",S,S
57,../data/input_images\20210620_020409_800_0414.jpg,2141791,3,81592423,"2656, 1520",S,S
58,../data/input_images\20210620_020409_800_0414.jpg,2141791,4,81592435,"1328, 2280",S,S
59,../data/input_images\20210620_020409_800_0414.jpg,2141791,5,81592443,"3984, 2280",S,S
60,../data/input_images\20210620_020424_900_0470.jpg,2141794,1,81592250,"1328, 760",S,S
61,../data/input_images\20210620_020424_900_0470.jpg,2141794,2,81592253,"3984, 760",S,S
62,../data/input_images\20210620_020424_900_0470.jpg,2141794,3,81592256,"2656, 1520",S,S
63,../data/input_images\20210620_020424_900_0470.jpg,2141794,4,81592260,"1328, 2280",S,S
64,../data/input_images\20210620_020424_900_0470.jpg,2141794,5,81592263,"3984, 2280",S,S
65,../data/input_images\20210620_020438_000_0519.jpg,2141799,1,81590997,"1328, 760",S,S
66,../data/input_images\20210620_020438_000_0519.jpg,2141799,2,81591000,"3984, 760",S,S
67,../data/input_images\20210620_020438_000_0519.jpg,2141799,3,81591001,"2656, 1520",S,S
68,../data/input_images\20210620_020438_000_0519.jpg,2141799,4,81591003,"1328, 2280",S,S
69,../data/input_images\20210620_020438_000_0519.jpg,2141799,5,81591006,"3984, 2280",S,S
70,../data/input_images\20210620_020446_900_0552.jpg,2141800,1,81592798,"1328, 760",S,S
71,../data/input_images\20210620_020446_900_0552.jpg,2141800,2,81592881,"3984, 760",S,S
72,../data/input_images\20210620_020446_900_0552.jpg,2141800,3,81592886,"2656, 1520",S,S
73,../data/input_images\20210620_020446_900_0552.jpg,2141800,4,81592890,"1328, 2280",S,S
74,../data/input_images\20210620_020446_900_0552.jpg,2141800,5,81592894,"3984, 2280",S,S
75,../data/input_images\20210620_020513_900_0653.jpg,2141809,1,81592813,"1328, 760",S,S
76,../data/input_images\20210620_020513_900_0653.jpg,2141809,2,81592827,"3984, 760",S,S
77,../data/input_images\20210620_020513_900_0653.jpg,2141809,3,81592833,"2656, 1520",S,S
78,../data/input_images\20210620_020513_900_0653.jpg,2141809,4,81592863,"1328, 2280",S,S
79,../data/input_images\20210620_020513_900_0653.jpg,2141809,5,81592875,"3984, 2280",S,S
80,../data/input_images\20210620_020517_900_0668.jpg,2141806,1,81590841,"1328, 760",S,S
81,../data/input_images\20210620_020517_900_0668.jpg,2141806,2,81590848,"3984, 760",S,S
82,../data/input_images\20210620_020517_900_0668.jpg,2141806,3,81590850,"2656, 1520",S,S
83,../data/input_images\20210620_020517_900_0668.jpg,2141806,4,81590853,"1328, 2280",S,S
84,../data/input_images\20210620_020517_900_0668.jpg,2141806,5,81590856,"3984, 2280",S,S
85,../data/input_images\20210620_020521_900_0683.jpg,2141808,1,81592247,"1328, 760",S,S
86,../data/input_images\20210620_020521_900_0683.jpg,2141808,2,81592254,"3984, 760",S,S
87,../data/input_images\20210620_020521_900_0683.jpg,2141808,3,81592261,"2656, 1520",S,S
88,../data/input_images\20210620_020521_900_0683.jpg,2141808,4,81592265,"1328, 2280",S,S
89,../data/input_images\20210620_020521_900_0683.jpg,2141808,5,81592269,"3984, 2280",S,S
90,../data/input_images\20210620_020527_900_0705.jpg,2141807,1,81592248,"1328, 760",S,S
91,../data/input_images\20210620_020527_900_0705.jpg,2141807,2,81592308,"3984, 760",S,S
92,../data/input_images\20210620_020527_900_0705.jpg,2141807,3,81592316,"2656, 1520",S,S
93,../data/input_images\20210620_020527_900_0705.jpg,2141807,4,81592323,"1328, 2280",S,S
94,../data/input_images\20210620_020527_900_0705.jpg,2141807,5,81592330,"3984, 2280",S,S
95,../data/input_images\20210620_020532_900_0724.jpg,2141813,1,81592258,"1328, 760",S,S
96,../data/input_images\20210620_020532_900_0724.jpg,2141813,2,81592317,"3984, 760",S,S
97,../data/input_images\20210620_020532_900_0724.jpg,2141813,3,81592329,"2656, 1520",S,S
98,../data/input_images\20210620_020532_900_0724.jpg,2141813,4,81592356,"1328, 2280",S,S
99,../data/input_images\20210620_020532_900_0724.jpg,2141813,5,81592363,"3984, 2280",S,S
100,../data/input_images\20210620_020544_000_0766.jpg,2141810,1,81591400,"1328, 760",S,S
101,../data/input_images\20210620_020544_000_0766.jpg,2141810,2,81591415,"3984, 760",S,S
102,../data/input_images\20210620_020544_000_0766.jpg,2141810,3,81591416,"2656, 1520",S,S
103,../data/input_images\20210620_020544_000_0766.jpg,2141810,4,81591419,"1328, 2280",S,S
104,../data/input_images\20210620_020544_000_0766.jpg,2141810,5,81591433,"3984, 2280",ACB,UNK
105,../data/input_images\20210620_020548_800_0784.jpg,2141812,1,81592252,"1328, 760",S,S
106,../data/input_images\20210620_020548_800_0784.jpg,2141812,2,81592255,"3984, 760",S,S
107,../data/input_images\20210620_020548_800_0784.jpg,2141812,3,81592259,"2656, 1520",S,S
108,../data/input_images\20210620_020548_800_0784.jpg,2141812,4,81592264,"1328, 2280",S,S
109,../data/input_images\20210620_020548_800_0784.jpg,2141812,5,81592270,"3984, 2280",S,S
110,../data/input_images\20210620_020554_900_0807.jpg,2141814,1,81591697,"1328, 760",S,S
111,../data/input_images\20210620_020554_900_0807.jpg,2141814,2,81591698,"3984, 760",S,S
112,../data/input_images\20210620_020554_900_0807.jpg,2141814,3,81591700,"2656, 1520",S,S
113,../data/input_images\20210620_020554_900_0807.jpg,2141814,4,81591702,"1328, 2280",S,S
114,../data/input_images\20210620_020554_900_0807.jpg,2141814,5,81591704,"3984, 2280",S,S
115,../data/input_images\20210620_020635_900_0960.jpg,2141824,1,81591712,"1328, 760",S,S
116,../data/input_images\20210620_020635_900_0960.jpg,2141824,2,81591713,"3984, 760",S,S
117,../data/input_images\20210620_020635_900_0960.jpg,2141824,3,81591714,"2656, 1520",S,S
118,../data/input_images\20210620_020635_900_0960.jpg,2141824,4,81591715,"1328, 2280",S,S
119,../data/input_images\20210620_020635_900_0960.jpg,2141824,5,81591716,"3984, 2280",R,S
120,../data/input_images\20210620_020642_000_0983.jpg,2141822,1,81591297,"1328, 760",S,S
121,../data/input_images\20210620_020642_000_0983.jpg,2141822,2,81591298,"3984, 760",S,S
122,../data/input_images\20210620_020642_000_0983.jpg,2141822,3,81591299,"2656, 1520",S,S
123,../data/input_images\20210620_020642_000_0983.jpg,2141822,4,81591302,"1328, 2280",S,S
124,../data/input_images\20210620_020642_000_0983.jpg,2141822,5,81591304,"3984, 2280",S,S
125,../data/input_images\20210620_020650_800_1016.jpg,2141825,1,81591920,"1328, 760",S,S
126,../data/input_images\20210620_020650_800_1016.jpg,2141825,2,81591926,"3984, 760",S,S
127,../data/input_images\20210620_020650_800_1016.jpg,2141825,3,81591937,"2656, 1520",S,S
128,../data/input_images\20210620_020650_800_1016.jpg,2141825,4,81591942,"1328, 2280",S,S
129,../data/input_images\20210620_020650_800_1016.jpg,2141825,5,81591945,"3984, 2280",R,S
130,../data/input_images\20210620_020655_900_1035.jpg,2141826,1,81591962,"1328, 760",S,S
131,../data/input_images\20210620_020655_900_1035.jpg,2141826,2,81591972,"3984, 760",S,S
132,../data/input_images\20210620_020655_900_1035.jpg,2141826,3,81591983,"2656, 1520",S,S
133,../data/input_images\20210620_020655_900_1035.jpg,2141826,4,81591993,"1328, 2280",S,S
134,../data/input_images\20210620_020655_900_1035.jpg,2141826,5,81591999,"3984, 2280",S,S
135,../data/input_images\20210620_020707_800_1079.jpg,2141828,1,81591711,"1328, 760",UNK,S
136,../data/input_images\20210620_020707_800_1079.jpg,2141828,2,81591756,"3984, 760",S,S
137,../data/input_images\20210620_020707_800_1079.jpg,2141828,3,81591761,"2656, 1520",S,S
138,../data/input_images\20210620_020707_800_1079.jpg,2141828,4,81591769,"1328, 2280",S,S
139,../data/input_images\20210620_020707_800_1079.jpg,2141828,5,81591774,"3984, 2280",UNK,S
140,../data/input_images\20210620_020719_000_1120.jpg,2141830,1,81591699,"1328, 760",S,S
141,../data/input_images\20210620_020719_000_1120.jpg,2141830,2,81591701,"3984, 760",S,S
142,../data/input_images\20210620_020719_000_1120.jpg,2141830,3,81591703,"2656, 1520",UNK,UNK
143,../data/input_images\20210620_020719_000_1120.jpg,2141830,4,81591705,"1328, 2280",UNK,UNK
144,../data/input_images\20210620_020719_000_1120.jpg,2141830,5,81591707,"3984, 2280",ACB,UNK
145,../data/input_images\20210620_020722_900_1134.jpg,2141831,1,81591899,"1328, 760",R,S
146,../data/input_images\20210620_020722_900_1134.jpg,2141831,2,81591902,"3984, 760",ACB,UNK
147,../data/input_images\20210620_020722_900_1134.jpg,2141831,3,81591904,"2656, 1520",ACB,ACB
148,../data/input_images\20210620_020722_900_1134.jpg,2141831,4,81591906,"1328, 2280",UNK,S
149,../data/input_images\20210620_020722_900_1134.jpg,2141831,5,81591908,"3984, 2280",R,ACB
150,../data/input_images\20210620_020727_700_1151.jpg,2141833,1,81593328,"1328, 760",R,S
151,../data/input_images\20210620_020727_700_1151.jpg,2141833,2,81593337,"3984, 760",ACB,UNK
152,../data/input_images\20210620_020727_700_1151.jpg,2141833,3,81593341,"2656, 1520",DC,ACB
153,../data/input_images\20210620_020727_700_1151.jpg,2141833,4,81593356,"1328, 2280",R,R
154,../data/input_images\20210620_020727_700_1151.jpg,2141833,5,81593367,"3984, 2280",R,R
155,../data/input_images\20210620_020732_900_1169.jpg,2141832,1,81592861,"1328, 760",S,S
156,../data/input_images\20210620_020732_900_1169.jpg,2141832,2,81592899,"3984, 760",ACB,ACB
157,../data/input_images\20210620_020732_900_1169.jpg,2141832,3,81592912,"2656, 1520",S,S
158,../data/input_images\20210620_020732_900_1169.jpg,2141832,4,81592927,"1328, 2280",S,S
159,../data/input_images\20210620_020732_900_1169.jpg,2141832,5,81592938,"3984, 2280",S,S
160,../data/input_images\20210620_020737_900_1187.jpg,2141834,1,81592806,"1328, 760",ACB,ACB
161,../data/input_images\20210620_020737_900_1187.jpg,2141834,2,81592825,"3984, 760",OT,OT
162,../data/input_images\20210620_020737_900_1187.jpg,2141834,3,81592835,"2656, 1520",ACB,ACB
163,../data/input_images\20210620_020737_900_1187.jpg,2141834,4,81592867,"1328, 2280",R,R
164,../data/input_images\20210620_020737_900_1187.jpg,2141834,5,81592879,"3984, 2280",S,S
165,../data/input_images\20210620_020747_900_1223.jpg,2141836,3,81595218,"2656, 1520",S,S
166,../data/input_images\20210620_020747_900_1223.jpg,2141836,5,81595248,"3984, 2280",S,S
167,../data/input_images\20210620_062031_000_0000.jpg,2142015,1,81603807,"1328, 760",S,S
168,../data/input_images\20210620_062031_000_0000.jpg,2142015,2,81603809,"3984, 760",S,S
169,../data/input_images\20210620_062031_000_0000.jpg,2142015,3,81603819,"2656, 1520",S,S
170,../data/input_images\20210620_062031_000_0000.jpg,2142015,4,81603825,"1328, 2280",S,S
171,../data/input_images\20210620_062031_000_0000.jpg,2142015,5,81603831,"3984, 2280",S,S
172,../data/input_images\20210620_062138_800_0232.jpg,2142017,1,81607998,"1328, 760",S,S
173,../data/input_images\20210620_062138_800_0232.jpg,2142017,2,81608002,"3984, 760",S,S
174,../data/input_images\20210620_062138_800_0232.jpg,2142017,3,81608006,"2656, 1520",S,S
175,../data/input_images\20210620_062138_800_0232.jpg,2142017,4,81608008,"1328, 2280",S,S
176,../data/input_images\20210620_062138_800_0232.jpg,2142017,5,81608011,"3984, 2280",S,S
177,../data/input_images\20210620_062146_800_0260.jpg,2142016,1,81600617,"1328, 760",S,S
178,../data/input_images\20210620_062146_800_0260.jpg,2142016,2,81600624,"3984, 760",S,S
179,../data/input_images\20210620_062146_800_0260.jpg,2142016,3,81600633,"2656, 1520",S,S
180,../data/input_images\20210620_062146_800_0260.jpg,2142016,4,81600643,"1328, 2280",S,S
181,../data/input_images\20210620_062146_800_0260.jpg,2142016,5,81600647,"3984, 2280",S,S
182,../data/input_images\20210620_062154_900_0288.jpg,2142019,1,81602052,"1328, 760",S,S
183,../data/input_images\20210620_062154_900_0288.jpg,2142019,2,81602058,"3984, 760",S,S
184,../data/input_images\20210620_062154_900_0288.jpg,2142019,3,81602062,"2656, 1520",S,S
185,../data/input_images\20210620_062154_900_0288.jpg,2142019,4,81602065,"1328, 2280",S,S
186,../data/input_images\20210620_062154_900_0288.jpg,2142019,5,81602073,"3984, 2280",S,S
187,../data/input_images\20210620_062201_000_0309.jpg,2142021,1,81608000,"1328, 760",S,S
188,../data/input_images\20210620_062201_000_0309.jpg,2142021,2,81608004,"3984, 760",S,S
189,../data/input_images\20210620_062201_000_0309.jpg,2142021,3,81608009,"2656, 1520",S,S
190,../data/input_images\20210620_062201_000_0309.jpg,2142021,4,81608012,"1328, 2280",S,S
191,../data/input_images\20210620_062201_000_0309.jpg,2142021,5,81608015,"3984, 2280",S,S
192,../data/input_images\20210620_062212_800_0350.jpg,2142018,2,81600951,"3984, 760",S,S
193,../data/input_images\20210620_062212_800_0350.jpg,2142018,3,81600952,"2656, 1520",S,S
194,../data/input_images\20210620_062212_800_0350.jpg,2142018,4,81600953,"1328, 2280",S,S
195,../data/input_images\20210620_062212_800_0350.jpg,2142018,5,81600955,"3984, 2280",S,S
196,../data/input_images\20210620_062216_900_0364.jpg,2142022,1,81603799,"1328, 760",S,S
197,../data/input_images\20210620_062216_900_0364.jpg,2142022,2,81603805,"3984, 760",S,S
198,../data/input_images\20210620_062216_900_0364.jpg,2142022,3,81603812,"2656, 1520",S,S
199,../data/input_images\20210620_062216_900_0364.jpg,2142022,4,81603820,"1328, 2280",S,S
200,../data/input_images\20210620_062216_900_0364.jpg,2142022,5,81603826,"3984, 2280",S,S
201,../data/input_images\20210620_062222_100_0382.jpg,2142024,1,81602059,"1328, 760",S,S
202,../data/input_images\20210620_062222_100_0382.jpg,2142024,2,81602063,"3984, 760",S,S
203,../data/input_images\20210620_062222_100_0382.jpg,2142024,3,81602066,"2656, 1520",S,S
204,../data/input_images\20210620_062222_100_0382.jpg,2142024,4,81602070,"1328, 2280",S,S
205,../data/input_images\20210620_062222_100_0382.jpg,2142024,5,81602074,"3984, 2280",S,S
206,../data/input_images\20210620_062226_300_0397.jpg,2142023,1,81603797,"1328, 760",S,S
207,../data/input_images\20210620_062226_300_0397.jpg,2142023,2,81603813,"3984, 760",S,S
208,../data/input_images\20210620_062226_300_0397.jpg,2142023,3,81603815,"2656, 1520",S,S
209,../data/input_images\20210620_062226_300_0397.jpg,2142023,4,81603823,"1328, 2280",S,S
210,../data/input_images\20210620_062226_300_0397.jpg,2142023,5,81603830,"3984, 2280",S,S
211,../data/input_images\20210620_062304_800_0533.jpg,2142030,1,81600954,"1328, 760",S,S
212,../data/input_images\20210620_062304_800_0533.jpg,2142030,2,81600958,"3984, 760",S,S
213,../data/input_images\20210620_062304_800_0533.jpg,2142030,3,81600965,"2656, 1520",S,S
214,../data/input_images\20210620_062304_800_0533.jpg,2142030,4,81600970,"1328, 2280",S,S
215,../data/input_images\20210620_062304_800_0533.jpg,2142030,5,81600976,"3984, 2280",S,S
216,../data/input_images\20210620_062327_900_0615.jpg,2142032,1,81600514,"1328, 760",S,S
217,../data/input_images\20210620_062327_900_0615.jpg,2142032,2,81600521,"3984, 760",ACB,UNK
218,../data/input_images\20210620_062327_900_0615.jpg,2142032,3,81600528,"2656, 1520",S,S
219,../data/input_images\20210620_062327_900_0615.jpg,2142032,4,81600533,"1328, 2280",S,S
220,../data/input_images\20210620_062327_900_0615.jpg,2142032,5,81600538,"3984, 2280",ACB,UNK
221,../data/input_images\20210620_062333_600_0635.jpg,2142035,1,81605931,"1328, 760",S,S
222,../data/input_images\20210620_062333_600_0635.jpg,2142035,2,81605945,"3984, 760",S,S
223,../data/input_images\20210620_062333_600_0635.jpg,2142035,3,81605988,"2656, 1520",S,S
224,../data/input_images\20210620_062333_600_0635.jpg,2142035,4,81605995,"1328, 2280",S,S
225,../data/input_images\20210620_062333_600_0635.jpg,2142035,5,81606051,"3984, 2280",R,R
226,../data/input_images\20210620_062338_700_0653.jpg,2142034,1,81610157,"1328, 760",S,S
227,../data/input_images\20210620_062338_700_0653.jpg,2142034,2,81610166,"3984, 760",S,S
228,../data/input_images\20210620_062338_700_0653.jpg,2142034,3,81610181,"2656, 1520",S,S
229,../data/input_images\20210620_062338_700_0653.jpg,2142034,4,81610198,"1328, 2280",S,S
230,../data/input_images\20210620_062338_700_0653.jpg,2142034,5,81610202,"3984, 2280",S,S
231,../data/input_images\20210620_062357_100_0717.jpg,2142039,1,81599504,"1328, 760",S,S
232,../data/input_images\20210620_062357_100_0717.jpg,2142039,2,81599507,"3984, 760",S,S
233,../data/input_images\20210620_062357_100_0717.jpg,2142039,3,81599510,"2656, 1520",S,S
234,../data/input_images\20210620_062357_100_0717.jpg,2142039,4,81599530,"1328, 2280",S,S
235,../data/input_images\20210620_062357_100_0717.jpg,2142039,5,81599534,"3984, 2280",ACB,WA
236,../data/input_images\20210620_062405_100_0745.jpg,2142038,1,81599497,"1328, 760",S,S
237,../data/input_images\20210620_062405_100_0745.jpg,2142038,2,81599498,"3984, 760",S,S
238,../data/input_images\20210620_062405_100_0745.jpg,2142038,3,81599501,"2656, 1520",S,S
239,../data/input_images\20210620_062405_100_0745.jpg,2142038,4,81599514,"1328, 2280",S,S
240,../data/input_images\20210620_062405_100_0745.jpg,2142038,5,81599519,"3984, 2280",S,CM-B
241,../data/input_images\20210620_062410_800_0765.jpg,2142041,1,81600501,"1328, 760",S,S
242,../data/input_images\20210620_062410_800_0765.jpg,2142041,2,81600524,"3984, 760",ACB,UNK
243,../data/input_images\20210620_062410_800_0765.jpg,2142041,3,81600527,"2656, 1520",ACB,TA
244,../data/input_images\20210620_062410_800_0765.jpg,2142041,4,81600541,"1328, 2280",S,CM
245,../data/input_images\20210620_062410_800_0765.jpg,2142041,5,81600546,"3984, 2280",R,ACX
246,../data/input_images\20210620_062420_500_0799.jpg,2142040,1,81599503,"1328, 760",S,S
247,../data/input_images\20210620_062420_500_0799.jpg,2142040,2,81599506,"3984, 760",S,S
248,../data/input_images\20210620_062420_500_0799.jpg,2142040,3,81599509,"2656, 1520",R,ACB
249,../data/input_images\20210620_062420_500_0799.jpg,2142040,4,81599518,"1328, 2280",S,S
250,../data/input_images\20210620_062420_500_0799.jpg,2142040,5,81599532,"3984, 2280",S,S
251,../data/input_images\20210620_062428_400_0827.jpg,2142042,1,81605908,"1328, 760",S,S
252,../data/input_images\20210620_062428_400_0827.jpg,2142042,2,81605919,"3984, 760",S,ACB
253,../data/input_images\20210620_062428_400_0827.jpg,2142042,3,81605920,"2656, 1520",S,S
254,../data/input_images\20210620_062428_400_0827.jpg,2142042,4,81605923,"1328, 2280",S,S
255,../data/input_images\20210620_062428_400_0827.jpg,2142042,5,81605926,"3984, 2280",R,UNK
256,../data/input_images\20210620_062433_000_0843.jpg,2142044,1,81605848,"1328, 760",S,S
257,../data/input_images\20210620_062433_000_0843.jpg,2142044,2,81605887,"3984, 760",ACB,UNK
258,../data/input_images\20210620_062433_000_0843.jpg,2142044,3,81605891,"2656, 1520",R,S
259,../data/input_images\20210620_062433_000_0843.jpg,2142044,4,81605907,"1328, 2280",S,S
260,../data/input_images\20210620_062433_000_0843.jpg,2142044,5,81605913,"3984, 2280",S,S
261,../data/input_images\20210620_062443_800_0881.jpg,2142045,1,81604429,"1328, 760",S,S
262,../data/input_images\20210620_062443_800_0881.jpg,2142045,2,81604500,"3984, 760",S,S
263,../data/input_images\20210620_062443_800_0881.jpg,2142045,3,81604510,"2656, 1520",R,S
264,../data/input_images\20210620_062443_800_0881.jpg,2142045,4,81604531,"1328, 2280",S,S
265,../data/input_images\20210620_062443_800_0881.jpg,2142045,5,81604560,"3984, 2280",UNK,S
266,../data/input_images\20210620_062449_400_0901.jpg,2142043,1,81605873,"1328, 760",S,S
267,../data/input_images\20210620_062449_400_0901.jpg,2142043,2,81605894,"3984, 760",ACB,ACB
268,../data/input_images\20210620_062449_400_0901.jpg,2142043,3,81605900,"2656, 1520",S,S
269,../data/input_images\20210620_062449_400_0901.jpg,2142043,4,81605904,"1328, 2280",S,S
270,../data/input_images\20210620_062449_400_0901.jpg,2142043,5,81605918,"3984, 2280",UNK,UNK
271,../data/input_images\20210620_062454_700_0920.jpg,2142046,1,81600973,"1328, 760",S,S
272,../data/input_images\20210620_062454_700_0920.jpg,2142046,2,81600984,"3984, 760",S,S
273,../data/input_images\20210620_062454_700_0920.jpg,2142046,3,81600991,"2656, 1520",S,S
274,../data/input_images\20210620_062454_700_0920.jpg,2142046,4,81601001,"1328, 2280",S,S
275,../data/input_images\20210620_062454_700_0920.jpg,2142046,5,81601004,"3984, 2280",ACB,ACB
276,../data/input_images\20210620_062501_800_0945.jpg,2142047,1,81601626,"1328, 760",S,S
277,../data/input_images\20210620_062501_800_0945.jpg,2142047,2,81601629,"3984, 760",ACB,ACB
278,../data/input_images\20210620_062501_800_0945.jpg,2142047,3,81601632,"2656, 1520",S,S
279,../data/input_images\20210620_062501_800_0945.jpg,2142047,4,81601638,"1328, 2280",ACB,ACB
280,../data/input_images\20210620_062501_800_0945.jpg,2142047,5,81601646,"3984, 2280",S,S
281,../data/input_images\20210620_062507_300_0965.jpg,2142048,1,81604305,"1328, 760",ACB,ACB
282,../data/input_images\20210620_062507_300_0965.jpg,2142048,2,81604309,"3984, 760",ACB,ACB
283,../data/input_images\20210620_062507_300_0965.jpg,2142048,3,81604320,"2656, 1520",ACB,ACB
284,../data/input_images\20210620_062507_300_0965.jpg,2142048,4,81604326,"1328, 2280",S,S
285,../data/input_images\20210620_062507_300_0965.jpg,2142048,5,81604332,"3984, 2280",ACB,ACB
286,../data/input_images\20210620_062519_500_1008.jpg,2142049,1,81604298,"1328, 760",S,S
287,../data/input_images\20210620_062519_500_1008.jpg,2142049,2,81604302,"3984, 760",UNK,UNK
288,../data/input_images\20210620_062519_500_1008.jpg,2142049,3,81604306,"2656, 1520",ACB,ACB
289,../data/input_images\20210620_062519_500_1008.jpg,2142049,4,81604311,"1328, 2280",DC,ACX
290,../data/input_images\20210620_062519_500_1008.jpg,2142049,5,81604315,"3984, 2280",S,S
291,../data/input_images\20210620_062525_600_1030.jpg,2142052,1,81601601,"1328, 760",ACB,S
292,../data/input_images\20210620_062525_600_1030.jpg,2142052,2,81601602,"3984, 760",ACB,DC
293,../data/input_images\20210620_062525_600_1030.jpg,2142052,3,81601608,"2656, 1520",S,S
294,../data/input_images\20210620_062525_600_1030.jpg,2142052,4,81601627,"1328, 2280",S,S
